MH_Time;MH_DOY;MH_0.1_m;MH_0.3_m;MH_0.5_m;MH_1.0_m;MH_3.0_m;MH_5.0_m;MH_7_m;IH_Time;IH_DOY;IH_0.1_m;IH_0.3_m;IH_0.5_m;IH_1.0_m;IH_3.0_m;IH_5.0_m
2009-06-25_06:00;176.250;13.726;13.755;13.742;13.676;9.785;7.634;7.089;2009-06-25_06:00;176.250;15.072;15.053;15.066;15.055;14.715;10.426
2009-06-25_07:00;176.292;13.678;13.707;13.694;13.604;9.785;7.583;7.039;2009-06-25_07:00;176.292;15.001;15.006;15.018;15.008;14.451;10.426
2009-06-25_08:00;176.333;13.654;13.659;13.622;13.363;9.785;7.684;7.039;2009-06-25_08:00;176.333;14.977;14.982;14.995;14.984;14.523;10.402
2009-06-25_09:00;176.375;13.702;13.683;13.622;13.219;9.810;7.583;7.013;2009-06-25_09:00;176.375;15.001;14.982;14.995;15.008;14.667;10.402
2009-06-25_10:00;176.417;13.726;13.731;13.694;13.315;9.834;7.734;7.064;2009-06-25_10:00;176.417;15.001;14.982;14.995;15.008;14.427;10.402
2009-06-25_11:00;176.458;13.798;13.731;13.646;13.147;9.711;7.583;7.039;2009-06-25_11:00;176.458;15.168;15.077;15.066;15.079;14.379;10.402
2009-06-25_12:00;176.500;13.966;13.899;13.573;13.026;9.736;7.659;6.988;2009-06-25_12:00;176.500;15.168;15.125;15.114;15.127;14.499;10.402
2009-06-25_13:00;176.542;14.254;14.211;14.126;13.219;9.761;7.634;7.064;2009-06-25_13:00;176.542;15.335;15.292;15.281;15.223;14.595;10.402
2009-06-25_14:00;176.583;14.565;14.450;14.366;13.147;9.711;7.784;7.064;2009-06-25_14:00;176.583;15.574;15.460;15.496;15.485;14.667;10.402
2009-06-25_15:00;176.625;14.828;14.762;14.629;13.315;9.859;7.684;7.039;2009-06-25_15:00;176.625;15.789;15.674;15.687;15.629;14.834;10.402
